Market Name,Store Name,Bin Location,Provider,Description,Part Number,Store Part ID,Part ID,UPC,Parts Quantity,Most Recent Cost,Weighted Average Cost,Last Ordered Date,Last Used Date,Days Since Last Interaction,Total Cost
"Charlotte, NC - Tooling Solutions","Charlotte, NC - Tooling Solutions",,ZNDUS,FENCE COUPLER HD (GRIPPER),08551320,1176781,5909657,,280,$2.00,$2.00,2024-12-20,,28,$560.00
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",YARD,ZNDUS,FENCE COUPLER HD (GRIPPER),08551320,1181882,5909657,,280,$2.00,$2.00,2024-12-27,,21,$560.00
"Savannah, GA - Tooling Solutions","Savannah, GA - Tooling Solutions",Yard,BULK - JOBSITE EQUIPMENT,FENCE METAL 6' X 12',350-1612,1186321,2052721,,280,$79.00,$79.00,2025-01-02,2025-01-17,0,"$22,120.00"
"Portland, OR - Tooling Solutions","Portland, OR - Tooling Solutions",,PROFAX,Gas Lens Each,PX995795,894056,3554781,846306060627,280,$4.73,$4.73,2024-04-19,,273,"$1,324.40"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",yard,ZNDUS,FENCE COUPLER HD (GRIPPER),08551320,1178213,5909657,,280,$2.00,$2.00,2024-12-23,,25,$560.00
"Newark, NJ - Tooling Solutions","Newark, NJ - Tooling Solutions",Outside with fencing,ZNDUS,FENCE COUPLER HD (GRIPPER),08551320,1187986,5909657,,280,$2.00,$2.00,2025-01-03,,14,$560.00
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C3.03.01,NORTON,"1-1/2""X1""X1/4"" SHANK FLAP WHEELS P60 MINI-WHEELS R207",63642502592,900363,3556781,0636425025920,280,$4.51,$4.51,2024-04-25,,267,"$1,262.80"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",C4/D/04,FTL ENTERPRISES,RET RING 3/4' SQ DR X 1 3/4' ID W/RESIN,FTL18708CG,460416,2041093,,280,$2.31,$2.35,2024-08-31,,139,$658.00
"Newark, NJ - Tooling Solutions","Newark, NJ - Tooling Solutions",outside,ZNDUS,ST612V - Standard (AC) [Fence 6' x 12' panel],07072215,1185899,5941210,,280,$79.00,$79.00,2025-01-02,,15,"$22,120.00"
"Corpus Christi, TX - Tooling Solutions","Corpus Christi, TX - Tooling Solutions",,ZNDUS,FENCE COUPLER HD (GRIPPER),08551320,1183524,5909657,,280,$2.00,$2.00,2024-12-30,,18,$560.00
"Savannah, GA - Tooling Solutions","Savannah, GA - Tooling Solutions",Yard,BULK - JOBSITE EQUIPMENT,FLAT STAND,350-1600,1186325,2052719,,280,$23.50,$23.50,2025-01-02,2025-01-17,0,"$6,580.00"
"Charlotte, NC - Tooling Solutions","Charlotte, NC - Tooling Solutions",,ZNDUS,TUBE STAND US,13001005,1176780,5909656,,280,$23.50,$23.50,2024-12-20,,28,"$6,580.00"
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",,ZNDUS,ST612V - Standard (AC) [Fence 6' x 12' panel],07072215,1183669,5941210,,280,$79.00,$79.00,2024-12-30,,18,"$22,120.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",yard,ZNDUS,ST612V - Standard (AC) [Fence 6' x 12' panel],07072215,1178211,5941210,,280,$79.00,$79.00,2024-12-23,,25,"$22,120.00"
"Corpus Christi, TX - Tooling Solutions","Corpus Christi, TX - Tooling Solutions",,ZNDUS,TUBE STAND US,13001005,1183523,5909656,,280,$23.50,$23.50,2024-12-30,,18,"$6,580.00"
"Detroit, MI - Tooling Solutions","Detroit, MI - Tooling Solutions",,BULK - JOBSITE EQUIPMENT,FLAT STAND,350-1600,1185571,2052719,,280,$23.50,$23.50,2024-12-31,,17,"$6,580.00"
"Newark, NJ - Tooling Solutions","Newark, NJ - Tooling Solutions",outside,ZNDUS,TUBE STAND US,13001005,1185898,5909656,,280,$23.50,$23.50,2025-01-02,,15,"$6,580.00"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",YARD,ZNDUS,TUBE STAND US,13001005,1181881,5909656,,280,$23.50,$23.50,2024-12-27,,21,"$6,580.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",,ZNDUS,TUBE STAND US,13001005,1178212,5909656,,280,$23.50,$23.50,2024-12-23,,25,"$6,580.00"
"Detroit, MI - Tooling Solutions","Detroit, MI - Tooling Solutions",,BULK - JOBSITE EQUIPMENT,FENCE METAL 6' X 12',350-1612,1185505,2052721,,280,$79.00,$79.00,2024-12-31,,17,"$22,120.00"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",PR/B/2,MICHIGAN PNEUMATIC,HARRWTAG9,HARRWTAG9,958831,699515,,279,$3.00,$3.00,2024-12-20,2025-01-10,7,$837.00
"El Dorado, AR - Tooling Solutions","El Dorado, AR - Tooling Solutions",BR SCT 1 AA01C,PYRAMEX,"Glasses, Gray Lens with Gray Temples, Intruder",S4120S,933379,2060548,814992008629,279,$0.55,$0.55,2024-08-29,2024-11-01,77,$153.45
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",GWP DISPLAY & E4/02,GENERAL WORK PRODUCTS,ROLL 3/4 BLACK ELECTRICAL TAPE BLACK,T3/4E,585583,2253075,700829153153,279,$0.70,$0.67,2023-06-09,2024-12-24,24,$186.93
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",A/2/1,METABO,"WHEEL CUTTING 6"" X .040 X 7/8"" A60TZ T1",655339000,876767,781708,662911302361,278,$1.14,$1.40,2024-07-22,,179,$388.64
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",K1/05,BULK - HOSE AIR,AIR HOSE WHIP CHECK 1/2-1-1/4,700-1208,570894,88573,,278,$3.95,$5.85,2024-12-23,2025-01-17,0,"$1,627.58"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",2/A/4,DEWALT,"NUTSETTER MAGNETIC 1/4"" 50 PER PACK",DW2221B,681765,3835165,,278,$0.74,$0.74,2024-06-18,,213,$205.72
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",7/A/2,DBI-SALA,PYTHON V-RING ATTACHMENT TOOL CINCH SINGLE  MEDIUM DUTY,1500013,676706,3840495,,278,$6.38,$6.38,2023-10-18,,457,"$1,773.64"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 6 - ROW B - BIN 3,PYRAMEX,Aluminum Full Brim Hard Hat Adapter,HHAAW,803621,2249701,814992010127,277,$5.16,$5.16,2024-02-16,2024-12-23,25,"$1,429.32"
"Denver, CO - Tooling Solutions","Denver, CO - Tooling Solutions",C010103,MICHIGAN PNEUMATIC,"SLEEVE, 2000 SERIES UPPER",2101,451551,54261,,277,$5.25,$5.39,2022-12-06,2024-12-26,22,"$1,493.03"
"Huntsville, AL - Tooling Solutions","Huntsville, AL - Tooling Solutions",3/B/4,MICHIGAN PNEUMATIC,WHIP CHECK 1/2-1-1/4 FOR AIR HOSE,SLC1,758513,43008,,276,$3.95,$3.95,2023-12-26,2024-11-21,57,"$1,090.20"
"Detroit, MI - Tooling Solutions","Detroit, MI - Tooling Solutions",,PYRAMEX,Leather Palm Safety Cuff Medium,GL1001WM,1151145,5934892,,276,$1.45,$1.45,2024-12-02,,46,$400.20
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",GWP DISPLAY & D1/04,GENERAL WORK PRODUCTS,ROLL 3/4 X 520 THREAD SEAL TAPE,T3/4T520 - ROLL,585579,2053494,7008291533378,276,$0.45,$0.45,2024-12-23,2024-08-28,142,$124.20
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",E6/02,NORTON,A3 Gemini Vit Mounted Point,61463624378,683376,2039252,09061463624378,275,$3.03,$3.03,2023-10-10,,465,$833.25
"Corpus Christi, TX - Tooling Solutions","Corpus Christi, TX - Tooling Solutions",F103,EAGLE TAPTEK,MED LINE BLACK PAINT MARKER 2.3MM,PM16-00116 BLK,908475,2249762,842006001168,275,$1.63,$1.67,2024-11-04,2024-09-18,121,$460.13
"Corpus Christi, TX - Tooling Solutions","Corpus Christi, TX - Tooling Solutions",M102,REPEL,"Insect Repellent, Aerosol, DEET, 40% DEET Concentration, Outdoor Use, 6.5 oz",HG-33801,965491,4131708,,275,$5.36,$5.36,2025-01-14,2024-07-01,200,"$1,474.00"
"Corpus Christi, TX - Tooling Solutions","Corpus Christi, TX - Tooling Solutions",K102,DICKIE,"18"" ORANGE SOLID VINYL FLAG",1024-18,999335,4028499,,275,$2.65,$2.65,2024-08-04,,166,$728.75
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",03/B/04,CGW,4-1/2 X 1/4 X 7/8 T27 A24-R-BF,35620,1148509,5934822,,275,$1.53,$1.53,2024-11-25,2025-01-06,11,$420.75
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",7/B/5,UVEX,VISOR REPLACEMENT SHADE 3 (10/PKG),S8560,688868,3835646,,273,$6.13,$6.13,2023-10-16,,459,"$1,673.49"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",PC4-3,LINCOLN ELECTRIC,"CONTACT TIP 350, .035",KP2744-035-B100,610376,40200,,273,$0.92,$0.88,2024-08-31,2023-12-27,387,$240.24
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",OUTSIDE,"HARTMANN BUILDING SPECIALTIES, LTD","#6 X 20'-0"" GRADE 60 REBAR",RB620,1194263,5910219,,272,$11.64,$11.64,2025-01-09,,8,"$3,166.08"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",GWP DISPLAY & S6/03,GENERAL WORK PRODUCTS,"2 X 60YD 6M SILVER DUCT TAPE # AC6, single Roll",T2DTAC6 - SINGLE ROLL,585573,3689914,50077922880039,271,$2.50,$2.50,2023-06-09,2024-12-24,24,$677.50
"Denver, CO - Tooling Solutions","Denver, CO - Tooling Solutions",C010103,MICHIGAN PNEUMATIC,"SLEEVE, 2000 SERIES LOWER",2103,451552,54262,,271,$6.30,$6.41,2022-12-06,2024-08-28,142,"$1,737.11"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 8 - ROW A - BIN 4,LINCOLN ELECTRIC,"NOZZLE 550, THREAD-ON, 1/8R 5/8 ID",KP2743-1-62R,226725,116351,,271,$18.48,$17.65,2024-10-03,2024-09-23,116,"$4,783.15"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",05/C/04,GENERAL WORK PRODUCTS,LEATHER DRIVER GLOVE ORANGE FINGER TIPS HI VIS X-LARGE,G9035HVWH-XL,706898,3862717,,270,$2.15,$2.15,2024-12-17,2024-12-30,18,$580.50
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",A/03/A/04,FTL ENTERPRISES,RET RING 1 1/2' SQ DR X 4 3/8' ID W/ RESIN,FTL10035CG,1028527,2041092,,270,$2.49,$2.49,2024-09-09,2024-12-27,21,$672.30
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",H4/03,TECHNIWELD,"3 X 19 Carbon Steel Scratch Brush, 13-3/4 X 7/8",SS85045,598635,3744549,843088137554,269,$1.10,$1.10,2023-08-08,2024-12-24,24,$295.90
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",08/J/03,BULK - WELDING LEAD,WELDING CABLE 2/0 EXTENSION MXF 50',900-0255,497746,115080,,268,$196.25,$161.13,2025-01-07,2025-01-17,0,"$43,183.08"
"Phoenix, AZ - Tooling Solutions","Phoenix, AZ - Tooling Solutions",07-08-04-01C,GENERAL WORK PRODUCTS,"HARNESS 5PT., TONGUE AND BUCKLE LEG STRAPS, BACK D-RING., BLUE COLOR",H212100031,916235,2038820,00700829101901,268,$26.00,$26.00,2024-12-24,2024-09-24,115,"$6,968.00"
"Chicago, IL - Tooling Solutions","SW Chicago, IL - Tooling Solutions",D2-3,MICHIGAN PNEUMATIC,"SLEEVE, 2000 SERIES UPPER",2101,403648,54261,,267,$5.25,$5.39,2022-09-20,2025-01-06,11,"$1,439.13"
"Corpus Christi, TX - Tooling Solutions","Corpus Christi, TX - Tooling Solutions",H101,GENERAL WORK PRODUCTS,"3"" X 1000 DANGER TAPE - ROLL",T3D1512/C - ROLL,999327,2261958,700829153566,267,$3.75,$3.75,2025-01-13,,4,"$1,001.25"
"El Dorado, AR - Tooling Solutions","El Dorado, AR - Tooling Solutions",ShowRoom Floor BA03B / Mis/B/Sec 3 AA02B,NORTON,Type 27 Grinding Wheel (Pack of 10)-4-1/2x1/8x5/8-11 T27 wheel,66252843609,394922,781557,30662528436092,267,$1.89,$1.87,2024-11-11,2024-09-23,116,$499.26
"Portland, OR - Tooling Solutions","Portland, OR - Tooling Solutions",,CENTURY,50' 12/3 SJTW Pro Star Ext Cord (Yellow),D11712050YL,854638,3750695,661899157130,264,$29.45,$28.11,2024-04-19,,273,"$7,420.56"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",T10/4 & T7/04,GENERAL WORK PRODUCTS,"LRG, LEATHER GLOVE, PAIR",G9060L-PAIR,677421,2053082,700829121749,264,$8.50,$8.50,2023-10-03,2024-12-24,24,"$2,244.00"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",06/A/04,Majestic,GLOVE L POLYURETHANE PALM COATED POLYESTER KNIT LINER,3432A/L,688833,3836450,,264,$4.08,$4.08,2023-10-16,,459,"$1,077.12"
"Phoenix, AZ - Tooling Solutions","Phoenix, AZ - Tooling Solutions",07-09-02-01C,3M,HALF FACEPIECE RESPIRATOR 6000 SERIES LARGE,6300,831144,699322,051131070264,262,$14.11,$14.96,2024-05-29,,233,"$3,919.52"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",4/A/2,SAFE CUTTERS,KNIFE POCKET CUTTER DISPOSABLE,SC-9558,681622,3835544,,262,$1.40,$1.40,2023-10-09,,466,$366.80
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",C1/E/02,PROFAX,"CONTACT TIP 3/4""",1-GPP,419601,2039046,,260,$3.85,$3.85,2023-05-23,,605,"$1,001.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",03/E/01 & 03/F/01 & 03/G/01,GENERAL WORK PRODUCTS,CASE 2X-LARGE BLUE DISP COVERALL FR CASE ONLY ( 25 PER ),PPCB1601-XXL-BULK,572651,3556847,,260,$43.00,$43.00,2024-12-17,2024-07-18,183,"$11,180.00"
"Chicago, IL - Tooling Solutions","SW Chicago, IL - Tooling Solutions",D2-3,MICHIGAN PNEUMATIC,"SLEEVE, 2000 SERIES LOWER",2103,403647,54262,,259,$6.30,$6.41,2022-09-23,2025-01-06,11,"$1,660.19"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",OUTSIDE 1,ZNDUS,ST612V - Standard (AC) [Fence 6' x 12' panel],07072215,1171327,5941210,,258,$79.00,$79.00,2024-12-17,,31,"$20,382.00"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",5/B/2,CRESCENT,"WRENCH ADJUSTABLE 6"" CHROME 144/PK",AC16BK,681957,3835073,,258,$4.76,$4.76,2024-12-20,2024-08-23,147,"$1,228.08"
"Mobile, AL - Tooling Solutions","Mobile, AL - Tooling Solutions",Parts Room 2-C2,LINCOLN ELECTRIC,"CONTACT TIP 350, .045",KP2744-045,277187,127028,,257,$0.96,$0.90,2024-10-30,2025-01-03,14,$231.17
"Olive Branch, MS - Tooling Solutions","Olive Branch, MS - Tooling Solutions",,SQWINCHER,"Qwik Stik® ZERO Sugar, 0.11 oz, Pack, Yields 20 oz, Orange 10 PACK",159060161,963737,3750511,075880414124,257,$4.02,$4.02,2024-06-28,2024-12-11,37,"$1,034.17"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 8 - ROW A - BIN 3 / AISLE 8 - ROW A - BIN 4,LINCOLN ELECTRIC,"NOZZLE, 350, THREAD-ON, FLUSH 1/2 ID",KP2742-1-50F-B25,39255,40206,,257,$10.32,$10.45,2023-08-18,2024-12-23,25,"$2,685.65"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",OUTSIDE 1,ZNDUS,TUBE STAND US,13001005,1171328,5909656,,256,$23.50,$23.50,2024-12-17,,31,"$6,016.00"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",D/01/A/01,GENERAL WORK PRODUCTS,EA XL LIME MESH REFLCTV VEST CL2,SVL2184FRXL,508232,2254967,700829100256,256,$4.25,$4.31,2024-08-31,2024-10-30,79,"$1,103.36"
"Olive Branch, MS - Tooling Solutions","Olive Branch, MS - Tooling Solutions",,SQWINCHER,"Qwik Stik® ZERO Sugar, 0.11 oz, Pack, Yields 20 oz, Strawberry Lemonade 10 Pack",159060162,963738,3750499,075880414131,256,$4.02,$4.02,2024-06-28,2024-12-11,37,"$1,030.14"
"Olive Branch, MS - Tooling Solutions","Olive Branch, MS - Tooling Solutions",,SQWINCHER,"Qwik Stik® ZERO Sugar, 0.11 oz, Pack, Yields 20 oz, Mixed Berry 10 pack",159060163,963736,3750498,075880414148,254,$4.02,$4.02,2024-06-28,2024-12-11,37,"$1,022.10"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",SB3/07 & 08,MICHIGAN PNEUMATIC,"SLEEVE, 2000 SERIES UPPER",2101,258771,54261,,254,$5.25,$5.39,2024-08-31,2025-01-14,3,"$1,369.06"
"El Dorado, AR - Tooling Solutions","El Dorado, AR - Tooling Solutions",ShowRoom Floor CB02A/ BR SCT 6 AA02J,LINCOLN ELECTRIC,"CONTACT TIP 350, .035",KP2744-035-B100,294517,40200,,254,$0.92,$0.88,2024-09-20,2024-09-18,121,$223.52
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",5/A/4,WRIGHT,"SOCKET HEXT BIT 3/8""DR X 5/16""",3210,681687,3835569,,254,$3.72,$3.72,2024-06-18,,213,$944.88
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",GWP DISPLAY & S6/03,GENERAL WORK PRODUCTS,BLUE MASKING TAPE - ROLL,T2MTP-ROLL,585582,3691066,,253,$3.13,$3.13,2023-06-09,2024-12-24,24,$791.89
"Corpus Christi, TX - Tooling Solutions","Corpus Christi, TX - Tooling Solutions",K101,IRONWEAR,CLEAR HARMONY GLASSES,3550-C-C PAIR,999339,832484,607659550018,252,$1.40,$1.40,2024-08-04,,166,$352.02
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 1 - ROW A - BIN 5,GENERAL WORK PRODUCTS,CORE SAFETY GLASSES CLEAR H/C,SGCORECLEARH/C,1186931,3549124,,252,$0.50,$0.50,2025-01-02,2025-01-15,2,$126.00
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",03/C/04,GENERAL WORK PRODUCTS,EA LARGE SAFETY VEST ORANGE,SVOL,660992,2254793,700829100980,251,$3.25,$3.25,2024-08-31,,139,$815.75
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",gloves /1/1,IRONWEAR,"HIGH VIS, Buffalo grain leather, Elastic wrist",4189-OFTP-SM,752992,1908064,,251,$2.61,$2.61,2023-12-18,2024-08-28,142,$655.11
"Corpus Christi, TX - Tooling Solutions","Corpus Christi, TX - Tooling Solutions",E105,EAGLE TAPTEK,1/2 HSS JOBBER DRILL,TAC40-032-I,936624,3667309,,251,$2.59,$2.59,2025-01-13,,4,$650.09
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",C1/E/03,PROFAX,"CutSkill CSGPN G-Series Type GPN Cutting Tip, Natural Gas, Propane, Size #0, 0.06 Inch Cutting Width",0-GPN,419589,2039034,,251,$3.85,$3.85,2024-08-31,2024-08-31,139,$966.35
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",D/02/C/02,MAGID GLOVE AND SAFETY MANUFACTURING CO. LLC,"IMPACT GLOVE T-REX LEATHER PALM CUT, MED",TRX744M,486558,698972,,251,$9.25,$8.67,2024-12-30,2024-04-29,263,"$2,176.30"
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions",D WALL,PYRAMEX,Disposable Uncorded Earplugs,DP1000,996393,2060551,18149920043243,250,$13.75,$13.75,2024-07-31,,170,"$3,437.50"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",TC-G4,PYRAMEX,Disposable Uncorded Earplugs,DP1000,898708,2060551,18149920043243,250,$14.00,$14.00,2024-04-24,,268,"$3,500.00"
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions",D WALL,PYRAMEX,DISPOSABLE CORDED EARPLUGS,DP1001,996394,2038764,18149920043311,250,$13.75,$13.75,2024-07-31,,170,"$3,437.50"
"Newark, NJ - Tooling Solutions","Newark, NJ - Tooling Solutions",1st Bay Door 1,MCNAUGHTON-MCKAY,DIRE FP9220 2/0 FP BLK 50' W/M&F LC40 CON W/EQ,DIREFP9220,776465,2057088,,250,$218.75,$218.75,2024-01-26,,357,"$54,687.50"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",H3/06,TECHNIWELD,E7018 H4 1/8 DIAMETER ELECTRODE 10LB TUBE,7018I12510V,685435,3745903,843088136359,250,$1.46,$1.46,2023-10-11,,464,$365.00
"Odessa, TX - Tooling Solutions","Odessa, TX - Tooling Solutions",,ZNDUS,TUBE STAND US,13001005,1179734,5909656,,250,$23.50,$23.50,2024-12-24,2024-12-30,18,"$5,875.00"
"Portland, OR - Tooling Solutions","Portland, OR - Tooling Solutions",,TECHNIWELD,E6010 1/8 DIAMETER ELECTRODE 10LB TUBE VACUUM PACKAGED,6010I12510V,916243,3749621,,250,$1.87,$1.87,2024-05-09,,253,$467.50
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions",I 1 4,PYRAMEX,"3XL, Hi-vis self-extinguishing lightweight polyester mesh W/ 2'' silver reflective material | Zipper front closure | Chest pocket with hook and loop closure |Deep and wide inside pocket | 2 pockets: 1 outer, 1 inner",RVZ21SE - 3XL,996402,5223122,,250,$3.25,$3.25,2024-07-31,,170,$812.50
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",03/B/04,CGW,4-1/2 X 1/8 X 7/8 T27 A24-R-BF,35612,1148510,5934823,,250,$1.27,$1.27,2024-11-25,2025-01-06,11,$317.50
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",03/C/01,GENERAL WORK PRODUCTS,EA 4XL LIME MESH REFLCTV VEST CL2,SVL2184FR4XL,485679,2255024,70082900100188,250,$4.25,$4.33,2024-12-14,,34,"$1,082.50"
"Phoenix, AZ - Tooling Solutions","Phoenix, AZ - Tooling Solutions",05-07-04-04C,TECHNIWELD,"E7018 3/32, 50 LB CANS",7018I093,849111,3749617,,250,$2.07,$2.07,2024-03-08,,315,$517.50
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",E/1/1,TECHNIWELD,"E7018 3/32, 50 LB CANS",7018I093,762354,3749617,,250,$1.60,$1.60,2024-01-02,2024-03-29,294,$400.00
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C4.05.02,PYRAMEX,DISPOSABLE CORDED EARPLUGS,DP1001,885848,2038764,18149920043311,250,$13.75,$13.75,2024-04-11,,281,"$3,437.50"
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C3.07.02,TECHNIWELD,E7018 1/8 DIAMETER 50 LB CAN,7018I125,911542,3749616,,250,$1.87,$1.87,2024-05-06,,256,$467.50
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions","I,4,5",PYRAMEX,RVZ21 SERIES VEST HI-VIZ LIME S,RVZ2110S,1174278,5942354,,250,$3.25,$3.25,2024-12-18,,30,$812.50
"Phoenix, AZ - Tooling Solutions","Phoenix, AZ - Tooling Solutions",05-08-04-04C,TECHNIWELD,E6010 1/8 DIAMETER ELECTRODE 10LB TUBE VACUUM PACKAGED,6010I12510V,849109,3749621,,250,$2.02,$2.02,2024-03-08,,315,$505.00
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",A/01/A/01,EAGLE TAPTEK,12 LG 18 TPI UL HACKSAW BLADE,HS100-12-1218-UL-D,1007014,4167848,,250,$0.70,$0.70,2024-08-12,,158,$175.00
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C3.07.02,TECHNIWELD,"E7018 3/32, 50 LB CANS",7018I093,911540,3749617,,250,$1.92,$1.92,2024-05-06,,256,$480.00
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",SHOWROOM,TECHNIWELD,E6010 1/8 DIAMETER ELECTRODE 10LB TUBE VACUUM PACKAGED,6010I12510V,925129,3749621,,250,$1.87,$1.87,2024-05-20,,242,$467.50
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C3.06.02,TECHNIWELD,E6010 1/8 DIAMETER ELECTRODE 50LB Box no vaccum seal,6010I12550,911539,3749619,,250,$1.67,$1.67,2024-05-06,,256,$417.50
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",SHOE ROOM 2,TECHNIWELD,E7018 H4 1/8 DIAMETER ELECTRODE 10LB TUBE,7018I12510V,925134,3745903,843088136359,250,$1.36,$1.36,2024-05-20,,242,$340.00
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",04/F/04,TECHNIWELD,E6010 3/32 DIAMETER ELECTRODE 10LB TUBE VACUUM PACKAGED,6010I09310V,635061,3749622,,250,$2.05,$2.05,2023-10-10,,465,$512.50
"Long Beach, CA - Tooling Solutions","Long Beach, CA - Tooling Solutions",C3.06.02,TECHNIWELD,E7018 H4 1/8 DIAMETER ELECTRODE 10LB TUBE,7018I12510V,911543,3745903,843088136359,250,$1.36,$1.36,2024-05-06,,256,$340.00
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions",I 1 5,PYRAMEX,"2XL, Hi-vis self-extinguishing lightweight polyester mesh W/ 2'' silver reflective material | Zipper front closure | Chest pocket with hook and loop closure |Deep and wide inside pocket | 2 pockets: 1 outer, 1 inner",RVZ21SE - XXL,996401,5223121,,250,$3.25,$3.25,2024-07-31,,170,$812.50
"Odessa, TX - Tooling Solutions","Odessa, TX - Tooling Solutions",,MICHIGAN PNEUMATIC,"12"" Jumbo Chisels ( Rivet Buster )",JRB-12FC-USA,1177717,54283,,250,$15.95,$15.67,2024-12-27,,21,"$3,917.50"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",SHOWROOM 2/TC-EE1,TECHNIWELD,E6010 1/8 DIAMETER ELECTRODE 50LB Box no vaccum seal,6010I12550,925130,3749619,,250,$1.67,$1.67,2024-05-20,,242,$417.50
"Portland, OR - Tooling Solutions","Portland, OR - Tooling Solutions",,PYRAMEX,Disposable Uncorded Earplugs,DP1000,899731,2060551,18149920043243,250,$14.00,$14.00,2024-04-25,,267,"$3,500.00"
"Mobile, AL - Tooling Solutions","Mobile, AL - Tooling Solutions",,DEWALT,"6"" X 1/4 X 7/8"" General Purpose Metal Grinding Wheel",DW4624,750534,3992057,,250,$2.92,$2.92,2023-12-14,,400,$730.00
